FK_NAME,PARENT_TABLE,PARENT_COLUMN,REFERENCED_TABLE,REFERENCED_COLUMN,PARENT_SCHEMA,REFERENCED_SCHEMA
FK_Courses_ClassSponsoredLinks_CourseId,ClassSponsoredLinks,CourseId,Courses,Id,dbo,dbo
FK_Users_CloudshareIdentityVerificationMessages_UserId,CloudshareIdentityVerificationMessages,UserId,Users,Id,dbo,dbo
FK_Contracts_CloudshareResourcesQuotas_ContractId,CloudshareResourcesQuotas,ContractId,Contracts,Id,dbo,dbo
FK_Projects_CloudshareResourcesQuotas_ProjectId,CloudshareResourcesQuotas,ProjectId,Projects,Id,dbo,dbo
FK_ContentFolders_ContentFolderMemberships_ContentFolderId,ContentFolderMemberships,ContentFolderId,ContentFolders,Id,dbo,dbo
FK_Envs_ContentFolderMemberships_EnvId,ContentFolderMemberships,EnvId,Envs,Id,dbo,dbo
FK_Projects_ContentFolders_ProjectId,ContentFolders,ProjectId,Projects,Id,dbo,dbo
FK_Users_ContentFolders_UserId,ContentFolders,UserId,Users,Id,dbo,dbo
FK_AwsAccountPools_Contracts_AwsAccountPoolId,Contracts,AwsAccountPoolId,AwsAccountPools,Id,dbo,dbo
FK_ContractsTerms_Contracts_ContractTermsId,Contracts,ContractTermsId,ContractsTerms,Id,dbo,dbo
FK_Contracts_LmsIntegrations_LmsIntegrationId,Contracts,LmsIntegrationId,LmsIntegrations,Id,dbo,dbo
FK_Contracts_Contracts_Projects_ContractId,Contracts_Projects,ContractId,Contracts,Id,dbo,dbo
FK_Projects_Contracts_Projects_ProjectId,Contracts_Projects,ProjectId,Projects,Id,dbo,dbo
FK_Contracts_Contracts_Users_ContractId,Contracts_Users,ContractId,Contracts,Id,dbo,dbo
FK_Users_Contracts_Users_UserId,Contracts_Users,UserId,Users,Id,dbo,dbo
FK_Courses_CourseMeetings_CourseId,CourseMeetings,CourseId,Courses,Id,dbo,dbo
FK_Courses_CourseRegions_CourseId,CourseRegions,CourseId,Courses,Id,dbo,dbo
FK_Regions_CourseRegions_RegionId,CourseRegions,RegionId,Regions,Id,dbo,dbo
FK_Courses_Courses_OriginalCourseId,Courses,OriginalCourseId,Courses,Id,dbo,dbo
FK_EnvironmentPolicies_Courses_EnvironmentPolicyId,Courses,EnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_Instructors_Courses_BillingInstructorId,Courses,LeadInstructorId,Instructors,Id,dbo,dbo
FK_ProjectTeams_Courses_TeamId,Courses,TeamId,ProjectTeams,Id,dbo,dbo
FK_Prototypes_Courses_PrototypeId,Courses,PrototypeId,Prototypes,Id,dbo,dbo
FK_Regions_Courses_RegionId,Courses,RegionId,Regions,Id,dbo,dbo
FK_SsoConnectors_Courses_SsoConnectorId,Courses,SsoConnectorId,SsoConnectors,Id,dbo,dbo
FK_Users_Courses_CreatorId,Courses,CreatorId,Users,Id,dbo,dbo
FK_Courses_CourseStages_CourseId,CourseStages,CourseId,Courses,Id,dbo,dbo
FK_Prototypes_CourseStages_PrototypeId,CourseStages,PrototypeId,Prototypes,Id,dbo,dbo
FK_Projects_CustomEmails_ProjectId,CustomEmails,ProjectId,Projects,Id,dbo,dbo
FK_TrainingSettings_CustomFieldDefinitions_TrainingSettingsId,CustomFieldDefinitions,TrainingSettingsId,TrainingSettings,Id,dbo,dbo
FK_Courses_CustomFieldValues_CourseId,CustomFieldValues,CourseId,Courses,Id,dbo,dbo
FK_CustomFieldDefinitions_CustomFieldValues_CustomFieldDefinitionId,CustomFieldValues,CustomFieldDefinitionId,CustomFieldDefinitions,Id,dbo,dbo
FK_Envs_DeleteEnvRequests_EnvId,DeleteEnvRequests,EnvId,Envs,Id,dbo,dbo
FK_Contracts_DeprovisionSteps_ContractId,DeprovisionSteps,ContractId,Contracts,Id,dbo,dbo
FK_EnvOperationAudits_EditMachineOperationsAdditionalData_EditMachinesOperationAuditId,EditMachineOperationsAdditionalData,EditMachinesOperationAuditId,EnvOperationAudits,Id,dbo,dbo
FK_ViewerCustomizations_EndUserLoginCustomizations_CustomizationId,EndUserLoginCustomizations,ViewerCustomizationId,ViewerCustomizations,Id,dbo,dbo
FK_Courses_EndUsersAccessPermissions_CourseId,EndUsersAccessPermissions,CourseId,Courses,Id,dbo,dbo
FK_Projects_EndUsersAccessPermissions_ProjectId,EndUsersAccessPermissions,ProjectId,Projects,Id,dbo,dbo
FK_EnvironmentPolicies_EnvBillingOperations_EnvironmentPolicyId,EnvBillingOperations,EnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_Envs_EnvBillingOperations_EntAppEnvId,EnvBillingOperations,EntAppEnvId,Envs,Id,dbo,dbo
FK_Projects_EnvironmentPolicies_ProjectId,EnvironmentPolicies,ProjectId,Projects,Id,dbo,dbo
FK_UsersProjects_EnvironmentPolicies_DefaultOwningSEId,EnvironmentPolicies,DefaultOwningSEId,UsersProjects,Id,dbo,dbo
FK_Envs_EnvOperationAudits_EnvId,EnvOperationAudits,EnvId,Envs,Id,dbo,dbo
FK_Machines_EnvOperationAudits_MachineId,EnvOperationAudits,MachineId,Machines,Id,dbo,dbo
FK_PrototypeVersions_EnvOperationAudits_PrototypeVersionId,EnvOperationAudits,PrototypeVersionId,PrototypeVersions,Id,dbo,dbo
FK_Requests_EnvOperationAudits_ResetMachineRequestId,EnvOperationAudits,ResetMachineRequestId,Requests,Id,dbo,dbo
FK_Requests_EnvOperationAudits_AddMachineRequestId,EnvOperationAudits,AddMachineRequestId,Requests,Id,dbo,dbo
FK_Requests_EnvOperationAudits_RemoveMachineRequestId,EnvOperationAudits,RemoveMachineRequestId,Requests,Id,dbo,dbo
FK_WebSessionAudits_EnvOperationAudits_WebSessionAuditId,EnvOperationAudits,WebSessionAuditId,WebSessionAudits,Id,dbo,dbo
FK_Envs_EnvResourceAudits_EnvId,EnvResourceAudits,EnvId,Envs,Id,dbo,dbo
FK_Envs_EnvRuns_EnvId,EnvRuns,EnvId,Envs,Id,dbo,dbo
FK_WebSessionAudits_EnvRuns_WebSessionAuditId,EnvRuns,WebSessionAuditId,WebSessionAudits,Id,dbo,dbo
FK_BackendEnvs_Envs_ActiveBackendEnvId,Envs,ActiveBackendEnvId,BackendEnvs,Id,dbo,dbo
FK_Courses_Envs_CourseId,Envs,CourseId,Courses,Id,dbo,dbo
FK_EnvironmentPolicies_Envs_LatestEnvironmentPolicyId,Envs,LatestEnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_EnvRuns_Envs_LatestEnvRunId,Envs,LatestEnvRunId,EnvRuns,Id,dbo,dbo
FK_ProjectTeams_Envs_TeamId,Envs,TeamId,ProjectTeams,Id,dbo,dbo
FK_Prototypes_Envs_PrototypeId,Envs,PrototypeId,Prototypes,Id,dbo,dbo
FK_PrototypeVersions_Envs_ParentPrototypeVersionForMachinesId,Envs,ParentPrototypeVersionForMachinesId,PrototypeVersions,Id,dbo,dbo
FK_PrototypeVersions_Envs_ParentPrototypeVersionForUiId,Envs,ParentPrototypeVersionForUiId,PrototypeVersions,Id,dbo,dbo
FK_Regions_Envs_RegionId,Envs,RegionId,Regions,Id,dbo,dbo
FK_Users_Envs_OwnerId,Envs,OwnerId,Users,Id,dbo,dbo
FK_UsersProjects_Envs_UserProjectId,Envs,UserProjectId,UsersProjects,Id,dbo,dbo
FK_WebSessionAudits_Envs_WebSessionAuditId,Envs,WebSessionAuditId,WebSessionAudits,Id,dbo,dbo
FK_Prototypes_EnvTemplates_EntAppPrototypeId,EnvTemplates,EntAppPrototypeId,Prototypes,Id,dbo,dbo
FK_Envs_EnvUserRoles_EnvId,EnvUserRoles,EnvId,Envs,Id,dbo,dbo
FK_Users_EnvUserRoles_UserId,EnvUserRoles,UserId,Users,Id,dbo,dbo
FK_Contracts_ExternalCloudCredentials_ContractId,ExternalCloudCredentials,ContractId,Contracts,Id,dbo,dbo
FK_ExternalClouds_ExternalCloudCredentials_ExternalCloudId,ExternalCloudCredentials,ExternalCloudId,ExternalClouds,Id,dbo,dbo
FK_ExternalCloudsCreateScripts_ExternalClouds_ExternalCloudId,ExternalCloudsCreateScripts,ExternalCloudId,ExternalClouds,Id,dbo,dbo
FK_ExternalCloudPermissions_Project_ProjectId,ExternalCloudsCreateScripts,ProjectId,Projects,Id,dbo,dbo
FK_ExternalCloudsCreateScripts_Project_ProjectId,ExternalCloudsCreateScripts,ProjectId,Projects,Id,dbo,dbo
FK_ExternalClouds_ExternalCloudVms_ExternalCloudId,ExternalCloudVms,ExternalCloudId,ExternalClouds,Id,dbo,dbo
FK_ExternalResourcesEnvPrototypeVersions_ExternalCloudVms_ExternalResourcesEnvPrototypeVersionId,ExternalCloudVms,ExternalResourcesEnvPrototypeVersionId,ExternalResourcesEnvPrototypeVersions,Id,dbo,dbo
FK_AwsAccountRuns_ExternalResourcesEnvPrototypeVersions_AwsAccountRunId,ExternalResourcesEnvPrototypeVersions,AwsAccountRunId,AwsAccountRuns,Id,dbo,dbo
FK_AwsAccounts_ExternalResourcesEnvPrototypeVersions_AwsAccountId,ExternalResourcesEnvPrototypeVersions,AwsAccountId,AwsAccounts,Id,dbo,dbo
FK_Courses_ExternalResourcesEnvPrototypeVersions_CourseId,ExternalResourcesEnvPrototypeVersions,CourseId,Courses,Id,dbo,dbo
FK_Envs_ExternalResourcesEnvPrototypeVersions_EntAppEnvId,ExternalResourcesEnvPrototypeVersions,EntAppEnvId,Envs,Id,dbo,dbo
FK_ExternalClouds_ExternalResourcesEnvPrototypeVersions_ExternalCloudId,ExternalResourcesEnvPrototypeVersions,ExternalCloudId,ExternalClouds,Id,dbo,dbo
FK_ExternalCloudsCreateScripts_ExternalResourcesEnvPrototypeVersions_ExternalCloudsCreateScriptId,ExternalResourcesEnvPrototypeVersions,ExternalCloudsCreateScriptId,ExternalCloudsCreateScripts,Id,dbo,dbo
FK_PrototypeVersions_ExternalResourcesEnvPrototypeVersions_PrototypeVersionId,ExternalResourcesEnvPrototypeVersions,PrototypeVersionId,PrototypeVersions,Id,dbo,dbo
FK_ExternalResourcesParameters_Courses_CourseId,ExternalResourcesParameters,CourseId,Courses,Id,dbo,dbo
FK_ExternalResourcesParameters_Invitations_InvitationId,ExternalResourcesParameters,InvitationId,Invitations,Id,dbo,dbo
FK_Contracts_ExternalResourcesQuotas_ContractId,ExternalResourcesQuotas,ContractId,Contracts,Id,dbo,dbo
FK_Projects_ExternalResourcesQuotas_ProjectId,ExternalResourcesQuotas,ProjectId,Projects,Id,dbo,dbo
FK_BackendMachines_FastUploadFolders_SourceTemplateMachineId,FastUploadFolders,SourceTemplateMachineId,BackendMachines,Id,dbo,dbo
