SCHEMA_NAME,TABLE_NAME,INDEX_NAME,INDEX_TYPE,is_unique,is_primary_key,COLUMN_NAME,key_ordinal
dbo,BackendMachines,IX_BackendMachines_CloudletNumber,NONCLUSTERED,false,false,LifecycleStatusInt,2
dbo,BackendMachines,IX_BackendMachines_CloudletNumber,NONCLUSTERED,false,false,MachineTypeInt,3
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,BackendMachineGroupId,0
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,CloudletNumber,0
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,RemoteDisplayAllocation_Port,0
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,MachineTypeInt,1
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,LifecycleStatusInt,2
dbo,BackendMachines,IX_BackendMachines_MachineTypeInt,NONCLUSTERED,false,false,RemoteDisplayAllocation_Token,3
dbo,BackendMachines,IX_BackendMachines_RepointToParentMachineId,NONCLUSTERED,false,false,RepointToParentMachineId,1
dbo,BackendMachines,IX_DeleteTime,NONCLUSTERED,false,false,Id,0
dbo,BackendMachines,IX_DeleteTime,NONCLUSTERED,false,false,MemorySizeMB,0
dbo,BackendMachines,IX_DeleteTime,NONCLUSTERED,false,false,DiskSizeMB,0
dbo,BackendMachines,IX_DeleteTime,NONCLUSTERED,false,false,DeleteTime,1
dbo,BackendMachines,IX_DomainId,NONCLUSTERED,false,false,DomainId,1
dbo,BackendMachines,IX_LifecycleStatus_MachineTypeInt,NONCLUSTERED,false,false,Id,0
dbo,BackendMachines,IX_LifecycleStatus_MachineTypeInt,NONCLUSTERED,false,false,BackendMachineGroupId,0
dbo,BackendMachines,IX_LifecycleStatus_MachineTypeInt,NONCLUSTERED,false,false,DeleteTime,0
dbo,BackendMachines,IX_LifecycleStatus_MachineTypeInt,NONCLUSTERED,false,false,LifecycleStatusInt,1
dbo,BackendMachines,IX_LifecycleStatus_MachineTypeInt,NONCLUSTERED,false,false,MachineTypeInt,2
dbo,BackendMachines,IX_LifecycleStatusInt,NONCLUSTERED,false,false,LifecycleStatusInt,1
dbo,BackendMachines,IX_MainDiskFolderVmwarePath,NONCLUSTERED,false,false,MainDiskFolderVmwarePath,1
dbo,BackendMachines,IX_MemoryFolderVmwarePath,NONCLUSTERED,false,false,MemoryFolderVmwarePath,1
dbo,BackendMachines,IX_OriginalTemplateMachine,NONCLUSTERED,false,false,BackendMachineGroupId,0
dbo,BackendMachines,IX_OriginalTemplateMachine,NONCLUSTERED,false,false,OriginalTemplateMachineId,1
dbo,BackendMachines,IX_ParentMachineId,NONCLUSTERED,false,false,Id,0
dbo,BackendMachines,IX_ParentMachineId,NONCLUSTERED,false,false,ParentMachineId,1
dbo,BackendMachines,IX_ReferencedMemoryFolderVmwarePath,NONCLUSTERED,false,false,ReferencedMemoryFolderVmwarePath,1
dbo,BackendMachines,IX_RepointToMainDiskFolderVmwarePath,NONCLUSTERED,false,false,RepointToMainDiskFolderVmwarePath,0
dbo,BackendMachines,IX_RepointToMainDiskFolderVmwarePath,NONCLUSTERED,false,false,LifecycleStatusInt,1
dbo,BackendMachines,IX_TemplateVersionId,NONCLUSTERED,false,false,TemplateVersionId,1
dbo,BackendMachines,PK_BackendMachines,NONCLUSTERED,true,true,Id,1
dbo,BackendMachines,UQ_BackendMachines_InventoryPath,NONCLUSTERED,true,false,InventoryPath,1
dbo,BackendMachines,UQ_BackendMachines_RemoteDisplayAllocation_Port,NONCLUSTERED,true,false,RemoteDisplayAllocation_Port,1
dbo,BackendMachines,UQ_BackendMachines_RemoteDisplayAllocation_Port,NONCLUSTERED,true,false,CloudletNumber,2
dbo,BackendMachines,UQ_BackendMachines_VmwareDatastorePath,NONCLUSTERED,true,false,VmwareDatastorePath,1
dbo,BackendMachineSharedFolders,PK_BackendMachineSharedFolders,CLUSTERED,true,true,Id,1
dbo,BackendMachineSharedFolders,UQ_BackendMachineSharedFolders_BIZKEY,NONCLUSTERED,true,false,Path,1
dbo,BackendNotifications,IX_DealtWith,NONCLUSTERED,false,false,DealtWith,1
dbo,BackendNotifications,PK_BackendNotifications,NONCLUSTERED,true,true,Id,1
dbo,BackendPrototypeEnvs,PK_BackendPrototypeEnvs,CLUSTERED,true,true,Id,1
dbo,BackendPrototypeRegionConfigs,PK_BackendPrototypeRegionConfigs,CLUSTERED,true,true,Id,1
dbo,BackendPrototypeRegionConfigs,UQ_BackendPrototypeRegionConfigs_BIZKEY,NONCLUSTERED,true,false,PrototypeId,1
dbo,BackendPrototypeRegionConfigs,UQ_BackendPrototypeRegionConfigs_BIZKEY,NONCLUSTERED,true,false,RegionId,2
dbo,Checkpoints,IX_Checkpoints_GuidedJourneySectionId,NONCLUSTERED,false,false,GuidedJourneySectionId,1
dbo,Checkpoints,PK_Checkpoints,CLUSTERED,true,true,Id,1
dbo,ChocolateyPackages,IX_ChocolateyPackages_DownloadCount,NONCLUSTERED,false,false,DownloadCount,1
dbo,ChocolateyPackages,IX_ChocolateyPackages_IsLatestVersion,NONCLUSTERED,false,false,IsLatestVersion,1
dbo,ChocolateyPackages,PK_ChocolateyPackages,CLUSTERED,true,true,Id,1
dbo,ChocolateyPackages,UQ_ChocolateyPackages_BIZKEY,NONCLUSTERED,true,false,IdName,1
dbo,ChocolateyPackages,UQ_ChocolateyPackages_BIZKEY,NONCLUSTERED,true,false,Version,2
dbo,ClassSponsoredLinks,IX_ClassSponsoredLinks_CourseId_StudentEmail,NONCLUSTERED,true,false,CourseId,1
dbo,ClassSponsoredLinks,IX_ClassSponsoredLinks_CourseId_StudentEmail,NONCLUSTERED,true,false,StudentEmail,2
dbo,ClassSponsoredLinks,IX_ClassSponsoredLinks_ShortId,NONCLUSTERED,true,false,ShortId,1
dbo,ClassSponsoredLinks,PK_ClassSponsoredLinks,CLUSTERED,true,true,Id,1
dbo,CloudshareIdentityVerificationMessages,IX_TimeSent_PhoneNumber,NONCLUSTERED,false,false,TimeSent,1
dbo,CloudshareIdentityVerificationMessages,IX_TimeSent_PhoneNumber,NONCLUSTERED,false,false,PhoneNumber,2
dbo,CloudshareIdentityVerificationMessages,IX_UserId,NONCLUSTERED,false,false,UserId,1
dbo,CloudshareIdentityVerificationMessages,PK_CloudshareIdentityVerificationMessages,CLUSTERED,true,true,Id,1
dbo,CloudshareResourcesQuotas,IX_CloudshareResourcesQuotas_ContractId,NONCLUSTERED,false,false,ContractId,1
dbo,CloudshareResourcesQuotas,IX_CloudshareResourcesQuotas_ProjectId,NONCLUSTERED,false,false,ProjectId,1
dbo,CloudshareResourcesQuotas,PK_CloudshareResourcesQuotas,CLUSTERED,true,true,Id,1
dbo,ClusterHosts,PK_ClusterHosts,CLUSTERED,true,true,Id,1
dbo,CommonPasswords,IX_CommonPasswords_Password,NONCLUSTERED,false,false,Password,1
dbo,CommonPasswords,PK_CommonPasswords,CLUSTERED,true,true,Id,1
dbo,ContentFolderMemberships,IX_ContentFolderId,NONCLUSTERED,false,false,ContentFolderId,1
dbo,ContentFolderMemberships,IX_ContentFolderId,NONCLUSTERED,false,false,ValidUntil,2
dbo,ContentFolderMemberships,IX_ContentFolderMemberships_EnvId,NONCLUSTERED,false,false,EnvId,1
dbo,ContentFolderMemberships,PK_ContentFolderMemberships,CLUSTERED,true,true,Id,1
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,Id,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,FolderName,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,DisplayName,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,QuotaInMb,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,LifecycleStatusInt,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,TypeInt,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,RowVersion,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,CreateTime,0
dbo,ContentFolders,IX_ContentFolderProjectId_ValidUntil,NONCLUSTERED,false,false,LastUpdateTime,0
